Availability,Accuracy,Success Rate (%),Avg Reward,Avg Learning Speed
0.20,0.20,99.55,7.60,0.08
0.20,0.40,99.60,8.63,0.08
0.20,0.60,99.53,9.34,0.09
0.20,0.80,99.65,10.11,0.09
0.20,1.00,99.63,10.65,0.10
0.40,0.20,99.42,2.58,0.06
0.40,0.40,99.55,5.60,0.07
0.40,0.60,99.65,7.71,0.08
0.40,0.80,99.85,9.64,0.09
0.40,1.00,100.00,10.99,0.10
0.60,0.20,99.01,-11.28,0.03
0.60,0.40,99.51,0.31,0.05
0.60,0.60,99.90,6.10,0.07
0.60,0.80,100.00,9.44,0.09
0.60,1.00,100.00,11.59,0.11
0.80,0.20,63.83,-59.96,0.02
0.80,0.40,99.39,-10.14,0.04
0.80,0.60,100.00,3.65,0.06
0.80,0.80,100.00,8.96,0.09
0.80,1.00,100.00,11.87,0.11
1.00,0.20,6.87,-120.29,0.01
1.00,0.40,89.76,-34.38,0.02
1.00,0.60,100.00,-0.56,0.05
1.00,0.80,100.00,8.23,0.08
1.00,1.00,100.00,11.98,0.11
