Availability,Accuracy,Success Rate (%),Avg Reward,Avg Learning Speed
0.20,0.20,99.50,8.26,0.08
0.20,0.40,99.63,9.02,0.09
0.20,0.60,99.62,9.70,0.09
0.20,0.80,99.65,10.20,0.09
0.20,1.00,99.66,10.84,0.10
0.40,0.20,99.37,3.46,0.06
0.40,0.40,99.48,6.10,0.07
0.40,0.60,99.66,8.16,0.08
0.40,0.80,99.78,9.64,0.09
0.40,1.00,99.93,10.98,0.10
0.60,0.20,98.88,-7.43,0.04
0.60,0.40,99.36,1.65,0.05
0.60,0.60,99.83,6.19,0.07
0.60,0.80,99.98,9.07,0.09
0.60,1.00,100.00,11.14,0.10
0.80,0.20,75.03,-45.92,0.02
0.80,0.40,99.04,-8.60,0.04
0.80,0.60,99.93,3.19,0.06
0.80,0.80,100.00,8.52,0.08
0.80,1.00,100.00,11.27,0.10
1.00,0.20,11.57,-113.22,0.01
1.00,0.40,86.01,-36.27,0.02
1.00,0.60,99.99,-1.10,0.05
1.00,0.80,100.00,7.78,0.08
1.00,1.00,100.00,11.29,0.10
